ID,Created,Name,Description,Playlist URL
ba98052c35834a909509906480123b94,2025-07-25T22:40:27Z,Guilty Pleasures,"Songs you genuinely love, but you're a little embarassed to like",https://open.spotify.com/playlist/5YkgrTZ6s5SgjCAhGASmYo
15fd1885420d40e68e80c391f6476ae1,2025-07-25T22:40:27Z,Hidden Gems 💎,Submit a song that is not very well known but you know we’ll love!,https://open.spotify.com/playlist/4c7D7cQHr8N4P5xrLNu0lx
25da45836cb845c29940f1a8bc2ea43d,2025-07-25T22:40:28Z,Comedic Relief 🤡,Submit a song that has funny lyrics/actually makes you laugh ,https://open.spotify.com/playlist/0sTLXWOTX9QWfZYjA0nAWV
aedacf52230b411b823088df5aebaa57,2025-07-25T22:40:28Z,Cover Up 🙈,Submit a cover of a song you like better than the original version,https://open.spotify.com/playlist/3URI48Shce8Z1ouub1TsnH
1c0cc43161384762bc14cef69def1643,2025-07-25T22:40:28Z,Pass the plate 🍽️ with Brenda Song,Submit a song somebody else introduced you to,https://open.spotify.com/playlist/4GV0EeBr9KwLG4rtBGC7Ms
a714f14c09784a4ea20def13dd616779,2025-07-25T22:40:28Z,Must hear at parties 🪩,"Submit a song you NEED to hear at wedding receptions, parties, bars, etc. ",https://open.spotify.com/playlist/4eDnaHb4o4bK3GE3gcZnSS
cc4f1a88a76d4486b4f148c7ee07cd47,2025-07-25T22:40:28Z,Dead ☠️,Submit a song about murder or that you would (theoretically) commit murder to,https://open.spotify.com/playlist/0flvLFJ4cUBwUAABvp8eHF
1bd717f3628844578ebc3fabd852ea5d,2025-07-25T22:40:29Z,2000s Nostalgia 💿,Submit a song you loved to listen to on your portable CD player,https://open.spotify.com/playlist/7JNS3pVZ6TVtAjwE3Mv3br
5205d843b488444bb5b2534896e12281,2025-07-25T22:40:29Z,Soundtrack 🎬,Submit an original song created for a movie or TV show,https://open.spotify.com/playlist/613Xn5qw4LFsKyBK4wn4kE
4d31326ca270410b8fb6e34c74465d91,2025-07-25T22:40:29Z,Favorite song ⭐️,Submit your favorite song of all time ,https://open.spotify.com/playlist/4xnRpz8qKvEOj78ozmU8L2
