Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:2LHNTC9QZxsL3nWpt8iaSR,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:3Y1EvIgEVw51XtgNEgpz5c,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:4gVTozEmzwAUXpwj3jEetX,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:4MpketOLD5KhtgWWOBuk9w,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5hyq3LBlCfjRQAFkdQwe8o,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5pWHXtj4OyOLVoQZHpuXBK,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,-2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,5,Iconic ,cac0a97113f342e387a36a7edf756fa1
spotify:track:7GRv55NwkjxU2ysJLwzC9c,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:0fJHz1wceiNJFs6jEWIvlJ,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:0mwbc2AqVHIziVGg3syEI9,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,5,Thank you to whoever did this ,cac0a97113f342e387a36a7edf756fa1
spotify:track:10wJ35whDsMVQ04fhkR5QS,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:14WaaiKH1dCUkXhwr4l0DG,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,1,I feel like I’m in Mario Kart weeeee,cac0a97113f342e387a36a7edf756fa1
spotify:track:1Q9b6CeMcDuO0uq5OJCrqu,3381f2b8e5a74019b7f93a802001397a,2026-01-16T08:07:18Z,4,Swerving thru LA traffic like ,cac0a97113f342e387a36a7edf756fa1
spotify:track:0fJHz1wceiNJFs6jEWIvlJ,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,-1,Not a fan but hey! Tf do I know lmao,cac0a97113f342e387a36a7edf756fa1
spotify:track:0mwbc2AqVHIziVGg3syEI9,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,3,Singer died in car accident you get a point ,cac0a97113f342e387a36a7edf756fa1
spotify:track:14WaaiKH1dCUkXhwr4l0DG,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:1Q9b6CeMcDuO0uq5OJCrqu,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:2dKkVF2m160z0RNDN2dddc,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:2LHNTC9QZxsL3nWpt8iaSR,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,5,,cac0a97113f342e387a36a7edf756fa1
spotify:track:3Y1EvIgEVw51XtgNEgpz5c,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:4gVTozEmzwAUXpwj3jEetX,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,5,This is definitely my dad. Saw them live so this gets 100 points in my book ,cac0a97113f342e387a36a7edf756fa1
spotify:track:5hyq3LBlCfjRQAFkdQwe8o,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5pWHXtj4OyOLVoQZHpuXBK,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5tFzUj1jV09bo4wBQWSbDl,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,5,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6WpZwkzyjINc6wDghg8Gzv,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:7GRv55NwkjxU2ysJLwzC9c,c04f44a3084f4a848d335013fc7a80ea,2026-01-16T16:38:27Z,3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:0fJHz1wceiNJFs6jEWIvlJ,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:0mwbc2AqVHIziVGg3syEI9,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:10wJ35whDsMVQ04fhkR5QS,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:14WaaiKH1dCUkXhwr4l0DG,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,-1,Isn’t the OG enough!?,cac0a97113f342e387a36a7edf756fa1
spotify:track:1Q9b6CeMcDuO0uq5OJCrqu,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:2dKkVF2m160z0RNDN2dddc,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,5,This was gonna be my choice!!,cac0a97113f342e387a36a7edf756fa1
spotify:track:2LHNTC9QZxsL3nWpt8iaSR,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:3Y1EvIgEVw51XtgNEgpz5c,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:4gVTozEmzwAUXpwj3jEetX,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,-2,Deep purple is tainted,cac0a97113f342e387a36a7edf756fa1
spotify:track:4MpketOLD5KhtgWWOBuk9w,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5hyq3LBlCfjRQAFkdQwe8o,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5pWHXtj4OyOLVoQZHpuXBK,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,3,I just noticed the guy in Death Lens is in the cover,cac0a97113f342e387a36a7edf756fa1
spotify:track:5tFzUj1jV09bo4wBQWSbDl,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,3,Kayla…,cac0a97113f342e387a36a7edf756fa1
spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,-1,Ive heard this song too much,cac0a97113f342e387a36a7edf756fa1
spotify:track:6sD2mCUjmi0S3PTKxdW1Lc,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,2,I forgot about this song,cac0a97113f342e387a36a7edf756fa1
spotify:track:7GRv55NwkjxU2ysJLwzC9c,bb9998daa35440aea3b29123cc71985c,2026-01-17T00:14:21Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:0mwbc2AqVHIziVGg3syEI9,9b48f7724d7444c8ad50da51b89b7142,2026-01-17T05:45:05Z,5,,cac0a97113f342e387a36a7edf756fa1
spotify:track:10wJ35whDsMVQ04fhkR5QS,9b48f7724d7444c8ad50da51b89b7142,2026-01-17T05:45:05Z,5,,cac0a97113f342e387a36a7edf756fa1
